Activity,Accuracy,Precision,Recall,F1
All,0.669,0.694,0.772,0.731
Standing,0.621,0.658,0.717,0.686
Sitting,0.734,0.722,0.902,0.802
Jogging,0.738,0.772,0.767,0.77
Walking,0.703,0.735,0.759,0.747
Up,0.767,0.778,0.819,0.798
Down,0.757,0.795,0.782,0.724
Average,0.712714286,0.736285714,0.788285714,0.751142857
