Activity,Accuracy,Precision,Recall,F1
All,0.662234,0.683795,0.779414,0.728481
Standing,0.704834,0.694929,0.903627,0.785655
Sitting,0.704834,0.694929,0.903627,0.785655
Jogging,0.703919,0.717826,0.792709,0.753412
Walking,0.661815,0.709714,0.7009,0.705279
Up,0.763148,0.758103,0.847258,0.800205
Down,0.733357,0.760031,0.773857,0.766882
Average,0.704877286,0.717046714,0.814484571,0.760795571
