Activity,Accuracy,Precision,Recall,F1
All,0.665,0.726,0.681,0.703
Standing,0.577,0.578,1,0.732
Sitting,0.599,0.599,1,0.749
Jogging,0.723,0.752,0.768,0.76
Walking,0.722,0.75,0.777,0.763
Up,0.731,0.742,0.795,0.768
Down,0.741,0.777,0.762,0.769
Average,0.679714286,0.703428571,0.826142857,0.749142857
